"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
45111-00015,거마공원,근린공원,,전라북도 전주시 완산구 삼천동1가 707,35.7984286,127.1226567,20187,족구장+핸드볼장+농구대+운동기구,,정자+화장실+벤치,,수경설비,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00016,강변공원,근린공원,,전라북도 전주시 완산구 삼천동1가 724-1,35.7991364394,127.1109993459,9927,,,,,,1993-08-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00017,곰솔나무길공원,문화공원,,전라북도 전주시 완산구 삼천동1가 732-5,35.8003179,127.128379,1759,,,벤치,,,1992-11-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00018,안행구획제1공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 739,35.8019499,127.1291836931,1556,배드민턴장+운동기구,조합놀이대+시소+미끄럼틀,정자+벤치,,,1992-11-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00019,신안행로공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 750-3,35.799774,127.1314604790,1690,농구대+운동기구,조합놀이대,정자+벤치,,,1996-12-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00020,삼천주공공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 765-1,35.794779,127.1114401692,1500,,,,,,2012-12-21,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00021,함대공원,어린이공원,,전라북도 전주시 완산구 삼천동2가 43,35.7947967,127.1070337,2078,,조합놀이대+시소+미끄럼틀,,,,2012-12-21,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00022,효천공원,어린이공원,,전라북도 전주시 완산구 삼천동2가 78-3,35.7954049,127.1049515,1758,,조합놀이대,,,수경설비,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00023,삼천공원,근린공원,,전라북도 전주시 완산구 삼천동2가 산 82-1,35.7847381,127.0935428,1289691,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00024,불무 2,소공원,,전라북도 전주시 완산구 서서학동 102-2,35.8048088,127.1465562,257,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00025,재실구역,어린이공원,전라북도 전주시 완산구 장승배기로 352-22,전라북도 전주시 완산구 서서학동 358-14,35.8021494,127.1482498,4719,운동기구,조합놀이대+시소,정자+화장실+벤치,,,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00026,불무 1,소공원,전라북도 전주시 완산구 장승배기9길 18,전라북도 전주시 완산구 서서학동 369-3,35.8042163,127.1466813,478,,,,,,2010-03-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00027,장승백이,소공원,,전라북도 전주시 완산구 서서학동 산27-2,35.8019409,127.1451674,321,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00028,흑석골,소공원,,전라북도 전주시 완산구 서서학동 986-6,35.7976637,127.1494195,1689,,,,,,2010-03-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00029,고사평 동 공원,어린이공원,,전라북도 전주시 완산구 서신동 1018,35.8382055555,127.1086173750,1907,축구장+농구대+운동기구,조합놀이대,정자+화장실+벤치,,,1993-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00030,안터공원,어린이공원,,전라북도 전주시 완산구 서신동 787-1,35.8309112211,127.1196293018,5574,운동기구,조합놀이대,화장실+벤치,,,1993-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00031,도내기샘공원,근린공원,,전라북도 전주시 완산구 서신동 794,35.8317279153,127.1168157385,11207,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00032,서신길공원,근린공원,전라북도 전주시 완산구 당산로 56,전라북도 전주시 완산구 서신동 795,35.83159158,127.1144504,11473,,,,,수경설비,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00033,전룡공원,어린이공원,,전라북도 전주시 완산구 서신동 834,35.8280069848,127.1168990704,3426,운동기구,조합놀이대+시소,화장실+벤치,,,1983-07-26,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00034,용두길공원,어린이공원,,전라북도 전주시 완산구 서신동 844,35.8274363059,127.1136138897,2802,운동기구,조합놀이대+시소+그네,정자+벤치,,,1992-05-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00035,바구멀,소공원,,전라북도 전주시 완산구 서신동 8-4,35.8283414,127.1252804,314,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00036,명당골공원,어린이공원,,전라북도 전주시 완산구 서신동 887-8,35.8261764,127.1192304,1622,운동기구,조합놀이대+시소+그네,정자+벤치,,,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00037,서여울길공원,어린이공원,,전라북도 전주시 완산구 서신동 929-2,35.8361108,127.1111833,1548,배구장+운동기구,조합놀이대+시소+그네,정자+화장실+벤치,,,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00038,고사평서 공원,어린이공원,,전라북도 전주시 완산구 서신동 944-1,35.8360794,127.1086379,1668,농구대+배드민턴장+운동기구,시소+그네,정자+벤치,,,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00039,서일공원,근린공원,,전라북도 전주시 완산구 서신동 960-3,35.8374190754,127.1160862709,10674,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00040,서부공원,어린이공원,,전라북도 전주시 완산구 서신동 962-5,35.8343638615,127.113067,6960,게이트볼구장+운동기구,야외무대+조합놀이대,정자+화장실+벤치,,,1994-09-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00041,선수촌공원,어린이공원,,전라북도 전주시 완산구 서신동 965-4,35.8347051,127.1191793,7818,농구대+운동기구,조합놀이대,정자+벤치,,,1992-05-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00042,재뜸공원,어린이공원,,전라북도 전주시 완산구 서신동 988,35.8268417869,127.1234646509,2292,운동기구,조합놀이대,정자+화장실+벤치,,,1987-04-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00043,강당재,소공원,전라북도 전주시 완산구 강당2길 29-9,전라북도 전주시 완산구 서완산동2가 79-24,35.81082594,127.1338864,125,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00044,가락구역,소공원,,전라북도 전주시 완산구 서완산동1가 525-6,35.8127361,127.1384904920,75,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00045,가락구역,소공원,,전라북도 전주시 완산구 서완산동1가 574-3,35.8118675816,127.1382599065,219,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00046,풍남,소공원,,전라북도 전주시 완산구 효자동1가 655,35.8006962053,127.1145128529,191,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00048,모악산도립공원,근린공원,,전라북도 전주시 완산구 중인동 1129,35.7583868,127.0913206,5608490,,,,,,1971-12-01,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00049,다가공원,근린공원,,전라북도 전주시 완산구 중화산동1가 150-3,35.814131,127.1377817376,66085,배드민턴장,,정자+화장실+벤치,,,1970-04-14,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00050,선너머공원,근린공원,,전라북도 전주시 완산구 중화산동2가 547,35.8098485,127.1265808800,12351,배드민턴장+운동기구,조합놀이대+회전무대+정글집,정자+화장실+벤치,,,1986-06-09,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00051,메너머1길공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 573,35.8216759326,127.1213322339,1500,운동기구,조합놀이대,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00052,인정길공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 586,35.819395,127.1194681394,6000,농구대+다목적구장+운동기구,조합놀이대,정자+화장실+벤치,,수경설비,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00053,중산10길공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 598,35.8186193107,127.1219536772,1500,운동기구,그네+미끄럼틀,화장실+벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00054,중산5길공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 619,35.8155124486,127.1190226187,1500,농구대+운동기구,조합놀이대+시소,정자+화장실+벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00055,중산3길공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 630,35.8158115,127.1221999,1500,농구대+운동기구,시소+그네,정자+화장실+벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00056,화산네거리공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 643,35.8134950247,127.1212353,1500,농구대+운동기구,조합놀이대+시소,정자+화장실+벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00057,근영공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 655-4,35.8173408902,127.1248339450,1500,농구대+운동기구,조합놀이대,정자+화장실+벤치,,,1992-05-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00058,한두평공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 662-5,35.8138669016,127.1249097242,1500,운동기구,그네+미끄럼틀,정자+화장실+벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00059,중산공원,근린공원,전라북도 전주시 완산구 메너머4길 11,전라북도 전주시 완산구 중화산동2가 687,35.82481675,127.1215811,12237,게이트볼구장+운동기구,조합놀이대,정자+화장실+벤치,,수경설비,1986-05-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00060,매너머공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 702-1,35.8224943971,127.1189399,1674,농구대+운동기구,시소+그네,벤치,,,1988-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00061,33호공원,근린공원,,전라북도 전주시 완산구 중화산동2가 746-3,35.8223532,127.1144597,10330,농구대+배드민턴장+게이트볼구장+운동기구,,정자+화장실+벤치,,,1997-02-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00062,111호공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 757-1,35.8202248,127.1172278,1531,,,,,,1997-01-22,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00063,110호공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 763-4,35.8196463,127.1147908,1512,,,,,,1997-01-22,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00064,112호공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 775-3,35.8181408185,127.1168265,1510,,,,,,1997-01-22,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00065,109호공원,어린이공원,,전라북도 전주시 완산구 중화산동2가 819-1,35.8210657,127.1147651,1513,,,,,,1997-01-22,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00066,화산공원,근린공원,,전라북도 전주시 완산구 중화산동2가 산 83-1,35.819811,127.1272054,572867,빙상경기장+배드민턴장+운동기구,,벤치+매점+화장실+벤치,,빙상경기장+수경설비,1970-04-14,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00067,태평문화공원,문화공원,,전라북도 전주시 완산구 태평동 293,35.8240594634,127.1376787995,7211,,,벤치,,수경설비,2006-09-01,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00068,태평소공원,소공원,,전라북도 전주시 완산구 태평동 293,35.8240594634,127.1376787995,768,,,벤치,,,2006-09-01,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00069,태평공원,어린이공원,,전라북도 전주시 완산구 태평동 293,35.8240594634,127.1376787995,4146,게이트볼구장+운동기구,조합놀이대+시소+미끄럼틀,정자+화장실+벤치,,,2006-09-01,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00070,도화봉공원,어린이공원,,전라북도 전주시 완산구 평화동1가 592-2,35.7968228461,127.1336338,393.5,,조합놀이대,벤치,,,1984-06-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00071,평화제1공원,어린이공원,,전라북도 전주시 완산구 평화동1가 597-6,35.7967199008,127.1331757,205.5,,조합놀이대,정자+벤치,,,1984-06-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00072,평화제2공원,어린이공원,,전라북도 전주시 완산구 평화동1가 722-1,35.7952008,127.1337133945,1974,운동기구,조합놀이대,정자+벤치,,,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00073,감나무골공원,어린이공원,,전라북도 전주시 완산구 평화동1가 740-1,35.7947307,127.138129,1932,운동기구,조합놀이대,정자+벤치,,,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00074,평화1공원,어린이공원,,전라북도 전주시 완산구 평화동1가 745-1,35.7920592591,127.1375171991,2861,운동기구,,화장실+벤치,,,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00075,신성공원,근린공원,,전라북도 전주시 완산구 평화동2가 230-133,35.7908462904,127.1346697261,15152,,,,,수경설비,1986-05-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00076,새터공원,어린이공원,전라북도 전주시 완산구 맏내2길 20,전라북도 전주시 완산구 평화동2가 846-1,35.79201581,127.1296714,3414,족구장+농구대+운동기구,조합놀이대,정자+벤치,,,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00077,참새암공원,어린이공원,,전라북도 전주시 완산구 평화동2가 858-4,35.7918147,127.1351967304,1511.5,,수경설비,정자+화장실+벤치,,수경설비,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00078,맏내공원,어린이공원,,전라북도 전주시 완산구 평화동2가 873-5,35.788911,127.1360994551,1677,운동기구,조합놀이대,정자+벤치,,,1994-04-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00079,평화3-1호공원,어린이공원,,전라북도 전주시 완산구 평화동2가 889-6,35.7861578,127.1318067146,2755,배드민턴장+운동기구,조합놀이대,정자+벤치,,,1998-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00080,평화3-2호공원,어린이공원,,전라북도 전주시 완산구 평화동2가 896-2,35.7856694,127.1344426,2400,운동기구,야외무대+조합놀이대+시소,정자+벤치,,수경설비,1998-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00081,평화3-3호공원,어린이공원,,전라북도 전주시 완산구 평화동2가 897-2,35.7834167417,127.1323374,2210,농구대+운동기구,그네,정자+벤치,,,1998-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00082,중앙공원,역사공원,,전라북도 전주시 완산구 풍남동3가 102,35.8155190040,127.1501926,49620,,,화장실+벤치,,,1938-05-09,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00083,간납대1,소공원,,전라북도 전주시 완산구 풍남동3가 83-13,35.8174482,127.1520713,1132,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00084,간납대2,소공원,,전라북도 전주시 완산구 풍남동3가 9-29,35.8162092649,127.1553713,265,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00085,신리공원,어린이공원,,전라북도 전주시 완산구 효자동1가 551,35.8048145,127.1223459614,1500,운동기구,시소+그네+미끄럼틀,정자+벤치,,,1986-03-06,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00086,성지산공원,근린공원,전라북도 전주시 완산구 성지산로 55,전라북도 전주시 완산구 효자동1가 567-1,35.802042,127.1235308,10000,배드민턴장+운동기구,,정자+화장실+벤치,,,1985-11-06,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00087,양지공원,어린이공원,전라북도 전주시 완산구 송정로 15,전라북도 전주시 완산구 효자동1가 576-4,35.80241572,127.1183502,1658.5,운동기구,시소+그네+미끄럼틀,정자+벤치,,,1986-03-06,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00088,가절길공원,어린이공원,전라북도 전주시 완산구 신봉3길 17-14,전라북도 전주시 완산구 효자동1가 610,35.81192009,127.1159247,2228.7,운동기구,조합놀이대+시소,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00089,장성공원,어린이공원,,전라북도 전주시 완산구 효자동1가 631,35.8091920653,127.1171132187,2312,운동기구,시소+그네+미끄럼틀,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00090,효자공원,근린공원,,전라북도 전주시 완산구 효자동1가 634,35.8110487310,127.1201510745,31597,배드민턴장+운동기구,,정자+화장실+벤치,,,1989-06-09,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00091,효문공원,어린이공원,,전라북도 전주시 완산구 효자동1가 653,35.8023541707,127.1152654410,2400,배드민턴장+운동기구,시소+그네,정자+화장실+벤치,,,1969-06-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00092,풍남공원,어린이공원,,전라북도 전주시 완산구 효자동1가 655,35.8006962053,127.1145128529,1600,운동기구,시소+그네,정자+화장실+벤치,,,1969-06-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00093,효림공원,어린이공원,,전라북도 전주시 완산구 효자동1가 659-4,35.8102990648,127.1267308845,3144,운동기구,시소+그네,정자+화장실+벤치,,,1994-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00094,안행공원,어린이공원,,전라북도 전주시 완산구 효자동1가 681,35.8045204777,127.1356335886,1442,운동기구,,정자+밴치,,,1992-11-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00095,은빛공원,어린이공원,,전라북도 전주시 완산구 효자동1가 690-5,35.8030586,127.1338644051,2054,게이트볼구장+운동기구,조합놀이대+시소,정자+화장실+벤치,,,1992-11-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00096,안행공원,근린공원,전라북도 전주시 완산구 외칠봉4길 9,전라북도 전주시 완산구 효자동1가 산 132-1,35.80538046,127.1360226,20497,,,정자+화장실+벤치,,,1995-07-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00097,효자제8호공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1164-1,35.8130036938,127.1086926,1537.5,운동기구,조합놀이대+시소+그네,농구대+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00098,한지공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1191-3,35.8073799566,127.0956845,1952,운동기구,조합놀이대,정자+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00099,선율공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1192-2,35.8091356,127.100273,1909,농구대+운동기구,조합놀이대,정자+벤치,,수경설비,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00100,도화공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1193-5,35.8072501,127.0980843801,1984,운동기구,조합놀이대+시소,정자+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00101,효열공원,근린공원,,전라북도 전주시 완산구 효자동2가 1193-7,35.8067531776,127.0990342194,12195,배드민턴장+운동기구,,정자+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00102,솔바람공원,근린공원,,전라북도 전주시 완산구 효자동2가 1200-1,35.8063416,127.0995210708,11342,운동기구,,화장실+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00103,달맞이공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1201-3,35.8070229,127.1015881,1891,운동기구,조합놀이대,정자+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00104,푸른연꽃공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1205-1,35.8037085,127.0990964996,1498,운동기구,조합놀이대+시소,정자+벤치,,,2004-11-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00105,효자제6호공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1247-13,35.8126301,127.099199,1716,,조합놀이대+그네,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00106,효자제7호공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1260-18,35.8124352,127.1042459,1538.9,운동기구,조합놀이대+시소+그네,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00107,사이언스공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1310,35.809352,127.095438,2983,농구대+운동기구,그네,정자+벤치,,수경설비,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00108,금파공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1314-3,35.8096519237,127.098195,2326,운동기구,조합놀이대+그네,정자+벤치,,,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00109,물빛채공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1314-7,35.811213,127.101282,4371,배드민턴장+운동기구,조합놀이대+그네,정자+벤치,,수경설비,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00110,이바디공원,근린공원,전라북도 전주시 완산구 우전로 177,전라북도 전주시 완산구 효자동2가 1314-8,35.81069673,127.1011168,14061,배드민턴장+운동기구,조합놀이대,정자+벤치,,수경설비,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00111,토방공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1315-5,35.809807,127.101497,2477,게이트볼구장+운동기구,,정자+벤치,,,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
